Word	OCR variants
en [223709]	em [66121], el [96363], eo [24933], ei [46124], cn [16769], ek [28808], ej [10626], ee [54613], ed [130222], eg [29705], ef [10077], ea [33875], ec [13584], eb [12936], ey [25758], ex [65766], ez [10729], eu [14883], et [118274], ew [12652], ev [10658], ep [16758], es [86731], eh [29205], nn [33850], ln [27582], tn [27659], rn [26890], er [93328], yn [11333], jn [14196], un [105649]
sg [220341]	ag [34737], eg [29705], cg [2367], gg [8832], ig [20898], ng [121829], pg [6129], tg [8203], bg [6407], dg [5623], sx [3338], ss [34085], sr [13517], sp [79517], sw [10864], sv [6923], su [101347], st [78759], sj [9082], sh [43271], sn [21577], sm [19789], sl [20085], sc [14160], sb [21126], sf [12885], se [184389], sd [8165]
suffixes [219619]	sufftxes [189], suftixes [56], sufflxes [175], suffixos [57], suffises [76], suflixes [252], sufiixes [549], suffixed [38897], suffixcs [80]
given [218935]	gtven [81], riven [147], qiven [100], giyen [75], glven [159], gives [46961]
syllable [218010]	syllahle [79], syllnble [74], syllablo [66], syllablc [131], svllable [75], syliable [112], syllabie [107], ayllable [77], syilable [60]
15 [217056]	1b [5879], 1n [11521]
child [216098]	chlld [220], chiid [205], ehild [186], chizd [140], ahild [299], ohild [391], cbild [192]
initial [213419]	initiai [115], initiaj [58], lnitial [61], inilial [178]
PL [212947]	PR [25100], PS [11790], DL [9074], PQ [977], PT [27803], EL [4904], PZ [969], PX [1233], CL [48623], AL [6698], PC [12815], GL [3718], PA [20911], PF [32508], RL [10962], PI [30923], PN [22284], PO [8069]
below [208576]	helow [140], belaw [78], belov [266], bolow [139], beiow [92]
NP [208488]	FP [5141], HP [3523], BP [2299], YP [1062], DP [25319], NI [10376], PP [37710], RP [9748], TP [11523], NX [1058], LP [5261], NV [4006], IP [18188], VP [52125], AP [13909], XP [3330], CP [15816], ZP [630], QP [1768], SP [16566], KP [3722], OP [6470]
relative [208461]	rolative [52], reiative [50]
consonant [207992]	conaonant [116], consonanl [233], oonsonant [126], eonsonant [102], consonnnt [67], coneonant [62]
good [207773]	food [115993], qood [121], gcod [109]
did [205741]	hid [6976], dld [483]
structure [204446]	strueture [52]
etc [204062]	ctc [2145]
water [203889]	wator [104], wafer [146], watei [59], watcr [257], waler [119], wnter [86], uater [125]
sentences [203677]	sentenoes [71], sentenees [54]
ï [203498]	z [165526]
nominal [202103]	nomlnal [69], noninal [186], noainal [94], nominai [97], ncminal [121]
_ [200422]	z [165526]
negative [198531]	nogative [80], negatlve [84], negalive [53]
chapter [196654]	chapler [56], chaprer [99], chaptor [55], cbapter [156], chaptcr [96]
stems [196493]	siems [63], steas [143], items [58240], stens [234], atems [60], stcms [192], stoms [56], slems [111]
work [195347]	vork [499], uork [200], woik [80], worl [288], worh [53]
your [193900]	vour [263], yoar [80], yout [266], yonr [129], ycur [68]
function [193828]	funclion [71], fbnction [54]
must [191821]	nust [332], just [170881], musl [188]
third [190540]	tbird [76], ihird [95], thtrd [51], lhird [143], thlrd [167]
either [190295]	cither [1673]
back [190281]	baok [320], buck [1874], beck [763], tack [449], hack [1800], pack [4714], bank [11900], baek [419]
constructions [189446]	construetions [50]
name [188590]	naae [212], nnme [163], uame [137], fame [1520]
16 [187763]	1b [5879], 1n [11521]
new [187476]	few [146036]
woman [185766]	womnn [101], woaan [102], voman [226], wonan [182], women [62695], wcman [78]
went [185581]	wept [1467], vent [2456], wenl [735], wcnt [860], weut [53], weat [174], want [137884], wont [1738], sent [26011]
old [185553]	ozd [259], odd [6643]
made [182931]	mnde [121], cade [286], madc [155]
action [179323]	aclion [98], aetion [61], aotion [190], actlon [153]
since [179177]	sincc [567]
get [178734]	got [66859], gel [5374], wet [23845], yet [85990], gct [501]
even [178732]	ever [26704]
put [177821]	pul [6708], pot [43066], cut [114807], pit [14495], pnt [651]
further [177550]	farther [4961]
17 [177091]	1b [5879], 1n [11521]
future [176800]	fbture [51], futurc [112], puture [72], futuro [1081], fulure [95], ruture [66]
high [173917]	hiah [125], hiqh [71], hish [567], higb [72], hlgh [209]
NEG [173863]	NEO [711], MEG [126], NEM [238], NES [208], NEI [117], KEG [83], NBG [472], NEE [70], NRG [108], NEC [1324], NSG [2816], NEX [412], NEV [269], NEU [1015], NER [156], REG [338], DEG [150]
cases [173168]	eases [1382], bases [35298], coses [73], oases [1029]
over [171209]	ovcr [259], ovor [193], oyer [260]
main [171162]	maln [156]
common [169902]	oommon [89], comnon [109], conmon [115]
know [169170]	knew [11921], knov [276], knaw [76], knou [106]
tree [169078]	trce [116], iree [167]
aspect [168921]	aspeet [58], aspeot [70], aspcct [392], aspecl [59]
day [168418]	dny [377]
father [166896]	fatber [61], fathep [64], fathar [59], fathor [52], falher [76], lather [417], fathcr [149]
II [166372]	DI [5295], BI [2348], HI [8863], JI [7727], FI [3670], NI [10376], IE [6248], LI [4474], AI [14401], TI [12414], PI [30923], IY [1416], IX [12378], CI [6097], XI [7270], EI [2261], ZI [603], IQ [3057], IP [18188], IS [31037], IU [4970], IT [14356], IV [63524], IH [4139], IK [2618], IJ [19018], IM [9375], IL [4020], IO [15160], IN [51758], IA [9414], IC [8299], IB [3650], VI [33560], ID [12809], GI [2562], IF [6122], OI [3765], KI [2856], MI [5903], SI [13656], UI [3620], QI [1252]
speech [165345]	spcech [150], speeeh [70], speach [85], specch [181], speeoh [78], apeech [53]
small [163683]	smalt [70], smail [121], saall [122], smali [119], amall [163]
speakers [163033]	speakera [62]
18 [162436]	1b [5879], l8 [2051], 1n [11521]
predicate [162077]	predicato [88]
19 [161464]	1b [5879], 1n [11521]
20 [161003]	2v [294], 2a [13254], 2b [8146]
lit [160314]	bit [37782], let [119884], lot [41397]
possible [159630]	possibly [31074]
mother [157402]	mothcr [161], oother [81], motber [83], aother [98], rother [208], molher [84]
adjectives [157242]	adjcctives [286], adjeclives [51], adiectives [95], adjectivcs [188]
LOC [156975]	LDC [80], SOC [1183], LOG [4586], LIC [441], VOC [4452], LCC [129], FOC [41573], LQC [103]
marking [156791]	narking [135], markinq [50], aarking [182]
set [154875]	sex [14202]
hand [154839]	band [10294], sand [15192], hnnd [142], hind [2054]
something [154557]	soaething [67], sonething [68], somethinq [145], somelhing [66], somcthing [136]
means [154007]	meant [10354], neans [136], aeans [103], moans [321]
rather [153839]	ralher [58], bather [120], rathor [75], tather [65], rnther [59]
should [153477]	sbould [90], shouid [75], ehould [70], ahould [150]
phrases [152398]	pbrases [104], phrasee [67]
going [151208]	doing [46118], golng [369]
big [150794]	bag [27602], blg [341], bit [37782], pig [54322]
grammar [149903]	grammer [112], granmar [113], gramnar [157]
followed [148985]	folloved [54], fallowed [62], foilowed [57], followod [51], followcd [51]
system [148350]	systen [102]
21 [146629]	2v [294], 2a [13254], 2b [8146], 2c [3061]
become [146117]	bccome [243], beeome [113], beoome [116], became [43761], becone [157], becoae [77], becomc [210]
types [145205]	typos [341], typee [73], typea [72], typcs [55], lypes [56]
particle [144086]	partiele [314], partlcle [96], particlo [95], particlc [258]
SG [143431]	AG [11902], SS [39782], SR [8323], SQ [1677], SP [16566], SU [7368], ST [20461], SI [13656], RG [2201], SM [18895], SC [14408], SB [7451], SF [14307]
possessive [142868]	possessivo [144]
NOM [141868]	NPM [105], NON [15870], NOH [211], NUM [9659], NCM [1974], MOM [1142], NOW [4429], COM [28972], NQM [71]
derived [140611]	derives [14520], derlved [61]
argument [140505]	arqument [96]
group [140335]	croup [234], qroup [58]
certain [140110]	ccrtain [415]
semantic [139885]	seaantic [149], senantic [120]
locative [138961]	iocative [262], jocative [92], locativc [391], loeative [171], locativo [227], locatlve [187], localive [51], vocative [16989]
morpheme [138920]	moipheme [148], morphome [228]
away [138441]	awav [188], avay [308], awny [86], auay [100], awry [212], sway [1488], nway [174]
question [137848]	questlon [79], guestion [58], qucstion [51]
grammatical [137477]	granmatical [80], gramnatical [103]
lexical [137468]	iexical [51]
mu [135961]	gu [71171], iu [26071], au [71736], vu [12714], eu [14883], zu [22198], mk [8451], cu [26498], xu [14701], ru [65973], pu [61294], lu [73738], nu [128104], mm [22656], fu [29885], ju [46056], hu [50821], bu [72110], wu [41579], du [115710], yu [61727], md [20511], mg [8218], mf [6028], qu [22007], mb [19547], uu [26892], ml [23747], mn [18300], su [101347], mj [5746], mt [21022], mw [9494], mv [4893], mq [2938], mp [11227], ou [43267]
show [135312]	shew [604], shov [189], sbow [164]
consonants [133828]	consonanta [92], oonsonants [80]
terms [132740]	terns [1130], torms [138]
22 [131616]	2v [294], 2a [13254], 2b [8146]
under [131475]	undei [54]
appear [130496]	appean [127], appeal [2421]
1SG [130243]	1SB [229], 1SA [148], JSG [540], FSG [742], 1SI [162], 1SO [183], 1PG [96], 1SM [209], NSG [2816], 1SS [275], 1SP [56], 1SN [240], MSG [1118], ISG [10105], OSG [899]
cannot [129042]	eannot [95], cannol [93]
university [128603]	universiti [491], universite [866]
four [128380]	lour [500], foui [55], fonr [143]
rule [128067]	rulo [129], ruie [122], role [63315], rnle [69], rulc [105]
within [127841]	vithin [117]
die [127806]	lie [66793], wie [6198], dig [23420], sie [10019], nie [7341]
follows [127782]	foilows [62]
roots [127503]	hoots [131], toots [98], roota [292], rools [57], roott [122]
complex [127338]	complcx [131]
change [127139]	changc [371], ohange [95]
appears [126713]	appeals [483]
little [126095]	littlo [126], littie [70], iittle [128], llttle [61], tittle [222], liltle [55]
expressed [125860]	expresses [40604]
3s [125832]	ps [25014], 3y [1034], fs [9563], ss [34085], 3r [2445], 3p [56910], 3u [6488], ds [14325], 3h [955], 3n [6586], 3m [14017], 3c [3675], 3a [16121], 3d [11253], 3f [7657], ls [45428]
data [124857]	date [45390]
3sg [124641]	lsg [50479], 3sf [2037], fsg [1246], isg [10937], rsg [378], 3sp [2275], 3ss [5825], nsg [2243], 3sm [7365], msg [3623], 3so [2559], 3sn [1766], 3si [478], 3se [1769], 3sr [1674], 3sa [2396], jsg [1031]
simple [124413]	sample [16012], simply [52618]
23 [124390]	2v [294], 2a [13254], 2b [8146]
markers [124295]	barkers [152], aarkers [106], narkers [54]
short [124165]	sbort [71], shorl [78], ehort [59]
dog [123029]	hog [2664], log [13474]
imperative [122904]	lmperative [61], inperative [79]
having [122898]	saving [888], hawing [106], hnving [105], haying [138], haring [434], raving [112]
adjective [122226]	adjectlve [78], adjoctive [72], adiective [87], adjcctive [158], adjeotive [58], adjectivc [177], adjectivo [106]
seen [121825]	aeen [85]
dialect [121624]	dialeet [77], dialcct [229], dialeot [84], diaiect [76]
direct [121440]	diroct [78], direcl [53], dircct [365]
thing [121033]	ihing [133], thins [122], think [63367]
preceding [119663]	proceding [70]
dialects [119505]	dialccts [203], dialeets [93]
analysis [119505]	analyses [12371], analvsis [51]
agreement [118696]	agreeaent [68]
similar [117950]	siailar [61], sinilar [87]
stress [117793]	stross [87]
discussed [116790]	discusscd [136], discusses [8902]
fish [115751]	fisb [72], fisk [191], ftsh [93], fieh [59], flsh [182], dish [9236], fiah [194]
24 [115261]	2v [294], 2a [13254], 2b [8146]
